,Title,Award,Link,Year,Authors,Abstract
0,Evaluating Multivariate Network Visualization Techniques Using a Validated Design and Crowdsourcing Approach,,https://dl.acm.org/doi/abs/10.1145/3313831.3376381,2020,"['Carolina  Nobre', 'Dylan  Wootton', 'Lane  Harrison', 'Alexander  Lex']","Visualizing multivariate networks is challenging because of the trade-offs necessary for effectively encoding network topology and encoding the attributes associated with nodes and edges. A large number of multivariate network visualization techniques exist, yet there is little empirical guidance on their respective strengths and weaknesses. In this paper, we describe a crowdsourced experiment, comparing node-link diagrams with on-node encoding and adjacency matrices with juxtaposed tables. We find that node-link diagrams are best suited for tasks that require close integration between the network topology and a few attributes. Adjacency matrices perform well for tasks related to clusters and when many attributes need to be considered. We also reflect on our method of using validated designs for empirically evaluating complex, interactive visualizations in a crowdsourced setting. We highlight the importance of training, compensation, and provenance tracking."
1,Towards an Understanding of Augmented Reality Extensions for Existing 3D Data Analysis Tools,,https://dl.acm.org/doi/abs/10.1145/3313831.3376657,2020,"['Xiyao  Wang', 'Lonni  Besançon', 'David  Rousseau', 'Mickael  Sereno', 'Mehdi  Ammi', 'Tobias  Isenberg']","We present an observational study with domain experts to understand how augmented reality (AR) extensions to traditional PC-based data analysis tools can help particle physicists to explore and understand 3D data. Our goal is to allow researchers to integrate stereoscopic AR-based visual representations and interaction techniques into their tools, and thus ultimately to increase the adoption of modern immersive analytics techniques in existing data analysis workflows. We use Microsoft's HoloLens as a lightweight and easily maintainable AR headset and replicate existing visualization and interaction capabilities on both the PC and the AR view. We treat the AR headset as a second yet stereoscopic screen, allowing researchers to study their data in a connected multi-view manner. Our results indicate that our collaborating physicists appreciate a hybrid data exploration setup with an interactive AR extension to improve their understanding of particle collision events."
2,Evaluation of a Financial Portfolio Visualization using Computer Displays and Mixed Reality Devices with Domain Experts,,https://dl.acm.org/doi/abs/10.1145/3313831.3376556,2020,"['Kay  Schroeder', 'Batoul  Ajdadilish', 'Alexander P. Henkel', 'André  Calero Valdez']","With the advent of mixed reality devices such as the Microsoft HoloLens, developers have been faced with the challenge to utilize the third dimension in information visualization effectively. Research on stereoscopic devices has shown that three-dimensional representation can improve accuracy in specific tasks (e.g., network visualization). Yet, so far the field has remained mute on the underlying mechanism. Our study systematically investigates the differences in user perception between a regular monitor and a mixed reality device. In a real-life within-subject experiment in the field with twenty-eight investment bankers, we assessed subjective and objective task performance with two- and three-dimensional systems, respectively. We tested accuracy with regard to position, size, and color using single and combined tasks. Our results do not show a significant difference in accuracy between mixed-reality and standard 2D monitor visualizations."
3,Decipher: An Interactive Visualization Tool for Interpreting Unstructured Design Feedback from Multiple Providers,,https://dl.acm.org/doi/abs/10.1145/3313831.3376380,2020,"['Yu-Chun Grace Yen', 'Joy O. Kim', 'Brian P. Bailey']","Feedback from diverse audiences can vary in focus, differ in structure, and contradict each other, making it hard to interpret and act on. While prior work has explored generating quality feedback, our work helps a designer interpret that feedback. Through a formative study with professional designers (N=10), we discovered that the interpretation process includes categorizing feedback, identifying valuable feedback, and prioritizing which feedback to incorporate in a revision. We also found that designers leverage feedback topic and sentiment, and the status of the provider to aid interpretation. Based on the findings, we created a new tool (Decipher) that enables designers to visualize and navigate a collection of feedback using its topic and sentiment structure. In a preliminary evaluation (N=20), we found that Decipher helped users feel less overwhelmed during feedback interpretation tasks and better attend to critical issues and conflicting opinions compared to using a typical document-editing tool."
4,Watch+Strap: Extending Smartwatches with Interactive StrapDisplays,,https://dl.acm.org/doi/abs/10.1145/3313831.3376199,2020,"['Konstantin  Klamka', 'Tom  Horak', 'Raimund  Dachselt']","While smartwatches are widely adopted these days, their input and output space remains fairly limited by their screen size. We present StrapDisplays—interactive watchbands with embedded display and touch technologies—that enhance commodity watches and extend their input and output capabilities. After introducing the physical design space of these StrapDisplays, we explore how to combine a smartwatch and straps in a synergistic Watch+Strap system. Specifically, we propose multiple interface concepts that consider promising content distributions, interaction techniques, usage types, and display roles. For example, the straps can enrich watch apps, display visualizations, provide glanceable feedback, or help avoiding occlusion issues. Further, we provide a modular research platform incorporating three StrapDisplay prototypes and a flexible web-based software architecture, demonstrating the feasibility of our approach. Early brainstorming sessions with 15 participants informed our design process, while later interviews with six experts supported our concepts and provided valuable feedback for future developments."
5,Techniques for Flexible Responsive Visualization Design,BEST_PAPER,https://dl.acm.org/doi/abs/10.1145/3313831.3376777,2020,"['Jane  Hoffswell', 'Wilmot  Li', 'Zhicheng  Liu']","Responsive visualizations adapt to effectively present information based on the device context. Such adaptations are essential for news content that is increasingly consumed on mobile devices. However, existing tools provide little support for responsive visualization design. We analyze a corpus of 231 responsive news visualizations and discuss formative interviews with five journalists about responsive visualization design. These interviews motivate four central design guidelines: enable simultaneous cross-device edits, facilitate device-specific customization, show cross-device previews, and support propagation of edits. Based on these guidelines, we present a prototype system that allows users to preview and edit multiple visualization versions simultaneously. We demonstrate the utility of the system features by recreating four real-world responsive visualizations from our corpus."
6,Interpreting Interpretability: Understanding Data Scientists' Use of Interpretability Tools for Machine Learning,HONORABLE_MENTION,https://dl.acm.org/doi/abs/10.1145/3313831.3376219,2020,"['Harmanpreet  Kaur', 'Harsha  Nori', 'Samuel  Jenkins', 'Rich  Caruana', 'Hanna  Wallach', 'Jennifer  Wortman Vaughan']","Machine learning (ML) models are now routinely deployed in domains ranging from criminal justice to healthcare. With this newfound ubiquity, ML has moved beyond academia and grown into an engineering discipline. To that end, interpretability tools have been designed to help data scientists and machine learning practitioners better understand how ML models work. However, there has been little evaluation of the extent to which these tools achieve this goal. We study data scientists' use of two existing interpretability tools, the InterpretML implementation of GAMs and the SHAP Python package. We conduct a contextual inquiry (N=11) and a survey (N=197) of data scientists to observe how they use interpretability tools to uncover common issues that arise when building and evaluating ML models. Our results indicate that data scientists over-trust and misuse interpretability tools. Furthermore, few of our participants were able to accurately describe the visualizations output by these tools. We highlight qualitative themes for data scientists' mental models of interpretability tools. We conclude with implications for researchers and tool designers, and contextualize our findings in the social science literature."
7,MRAT: The Mixed Reality Analytics Toolkit,BEST_PAPER,https://dl.acm.org/doi/abs/10.1145/3313831.3376330,2020,"['Michael  Nebeling', 'Maximilian  Speicher', 'Xizi  Wang', 'Shwetha  Rajaram', 'Brian D. Hall', 'Zijian  Xie', 'Alexander R. E. Raistrick', 'Michelle  Aebersold', 'Edward G. Happ', 'Jiayin  Wang', 'Yanan  Sun', 'Lotus  Zhang', 'Leah E. Ramsier', 'Rhea  Kulkarni']","Significant tool support exists for the development of mixed reality (MR) applications; however, there is a lack of tools for analyzing MR experiences. We elicit requirements for future tools through interviews with 8 university research, instructional, and media teams using AR/VR in a variety of domains. While we find a common need for capturing how users perform tasks in MR, the primary differences were in terms of heuristics and metrics relevant to each project. Particularly in the early project stages, teams were uncertain about what data should, and even could, be collected with MR technologies. We designed the Mixed Reality Analytics Toolkit (MRAT) to instrument MR apps via visual editors without programming and enable rapid data collection and filtering for visualizations of MR user sessions. With MRAT, we contribute flexible interaction tracking and task definition concepts, an extensible set of heuristic techniques and metrics to measure task success, and visual inspection tools with in-situ visualizations in MR. Focusing on a multi-user, cross-device MR crisis simulation and triage training app as a case study, we then show the benefits of using MRAT, not only for user testing of MR apps, but also performance tuning throughout the design process."
8,Pushing the (Visual) Narrative: The Effects of Prior Knowledge Elicitation in Provocative Topics,,https://dl.acm.org/doi/abs/10.1145/3313831.3376887,2020,"['Jeremy  Heyer', 'Nirmal Kumar  Raveendranath', 'Khairi  Reda']","Narrative visualization is a popular style of data-driven storytelling. Authors use this medium to engage viewers with complex and sometimes controversial issues. A challenge for authors is to not only deliver new information, but to also overcome people's biases and misconceptions. We study how people adjust their attitudes toward (or away from) a message experienced through a narrative visualization. In a mixed-methods analysis, we investigate whether eliciting participants' prior beliefs, and visualizing those beliefs alongside actual data, can increase narrative persuasiveness. We find that incorporating priors does not significantly affect attitudinal change. However, participants who externalized their beliefs expressed greater surprise at the data. Their comments also indicated a greater likelihood of acquiring new information, despite the minimal change in attitude. Our results also extend prior findings, showing that visualizations are more persuasive than equivalent textual data representations for exposing contentious issues. We discuss the implications and outline future research directions."
9,Prior Setting in Practice: Strategies and Rationales Used in Choosing Prior Distributions for Bayesian Analysis,,https://dl.acm.org/doi/abs/10.1145/3313831.3376377,2020,"['Abhraneel  Sarma', 'Matthew  Kay']","Bayesian statistical analysis is steadily growing in popularity and use. Choosing priors is an integral part of Bayesian inference. While there exist extensive normative recommendations for prior setting, little is known about how priors are chosen in practice. We conducted a survey (N = 50) and interviews (N = 9) where we used interactive visualizations to elicit prior distributions from researchers experienced withBayesian statistics and asked them for rationales for those priors. We found that participants' experience and philosophy influence how much and what information they are willing to incorporate into their priors, manifesting as different levels of informativeness and skepticism. We also identified three broad strategies participants use to set their priors: centrality matching, interval matching, and visual mass allocation. We discovered that participants' understanding of the notion of""weakly informative priors""—a commonly-recommended normative approach to prior setting—manifests very differently across participants. Our results have implications both for how to develop prior setting recommendations and how to design tools to elicit priors in Bayesian analysis."
